Animal_ID,ANIMAL_SN,Lat,Longitude,Fix Status,X,Y,DATETIME
tn85844,tn85844_2020_W,48.5077883,54.1190392,4 or more SV KF,269640,5377440,2020.03.30 12:00:00
tn85844,tn85844_2020_W,48.5078139,54.1179989,4 or more SV KF,269717,5377440,2020.03.30 20:00:00
tn85844,tn85844_2020_W,48.5062867,54.1204856,4 or more SV KF,269526,5377278,2020.03.31 04:00:00
tn85844,tn85844_2020_W,48.5062892,54.1204069,4 or more SV KF,269532,5377278,2020.03.31 06:00:00
tn85844,tn85844_2020_W,48.5071656,54.1206831,4 or more SV KF,269516,5377376,2020.03.31 12:00:00
tn85844,tn85844_2020_W,48.5071847,54.1203111,4 or more SV KF,269543,5377377,2020.03.31 16:00:00
tn85844,tn85844_2020_W,48.5054517,54.1243517,4 or more SV KF,269237,5377196,2020.03.31 22:00:00
tn85844,tn85844_2020_SM,48.4997364,54.1179506,4 or more SV KF,269684,5376542,2020.04.01 04:00:00
tn85844,tn85844_2020_SM,48.4997247,54.118185,4 or more SV KF,269666,5376541,2020.04.01 06:00:00
tn85844,tn85844_2020_SM,48.4980881,54.1179208,4 or more SV KF,269678,5376359,2020.04.01 08:00:00
tn85844,tn85844_2020_SM,48.4981431,54.1178592,4 or more SV KF,269683,5376365,2020.04.01 10:00:00
tn85844,tn85844_2020_SM,48.4942922,54.1000269,4 or more SV KF,270983,5375883,2020.04.01 12:00:00
tn85844,tn85844_2020_SM,48.4944561,54.1009694,4 or more SV KF,270914,5375904,2020.04.01 14:00:00
tn85844,tn85844_2020_SM,48.5001786,54.1231847,4 or more SV KF,269299,5376607,2020.04.01 22:00:00
tn85844,tn85844_2020_SM,48.5000333,54.1233453,4 or more SV KF,269287,5376591,2020.04.02 00:00:00
tn85844,tn85844_2020_SM,48.4927794,54.1067094,4 or more SV KF,270483,5375735,2020.04.02 04:00:00
tn85844,tn85844_2020_SM,48.4927681,54.1066419,4 or more SV KF,270488,5375734,2020.04.02 08:00:00
tn85844,tn85844_2020_SM,48.4928319,54.1068022,4 or more SV KF,270476,5375741,2020.04.02 10:01:00
tn85844,tn85844_2020_SM,48.4928917,54.1061239,4 or more SV KF,270526,5375746,2020.04.02 12:00:00
tn85844,tn85844_2020_SM,48.493545,54.1049708,4 or more SV KF,270614,5375815,2020.04.02 14:00:00
tn85844,tn85844_2020_SM,48.4939633,54.1040967,4 or more SV KF,270681,5375859,2020.04.02 22:00:00
tn85844,tn85844_2020_SM,48.4944617,54.1000256,4 or more SV KF,270984,5375902,2020.04.03 10:00:00
tn85844,tn85844_2020_SM,48.4930825,54.1128244,4 or more SV KF,270032,5375787,2020.04.03 16:00:00
tn85844,tn85844_2020_SM,48.4971247,54.1263475,4 or more SV KF,269052,5376277,2020.04.03 20:00:00
tn85844,tn85844_2020_SM,48.4952831,54.1341308,4 or more SV KF,268468,5376096,2020.04.04 00:00:00
tn85844,tn85844_2020_SM,48.4956433,54.1346681,4 or more SV KF,268430,5376138,2020.04.04 02:00:00
tn85844,tn85844_2020_SM,48.4956497,54.1346333,4 or more SV KF,268433,5376138,2020.04.04 04:00:00
tn85844,tn85844_2020_SM,48.4948022,54.1336108,4 or more SV KF,268505,5376041,2020.04.04 06:00:00
tn85844,tn85844_2020_SM,48.4944156,54.1362239,4 or more SV KF,268310,5376006,2020.04.04 12:00:00
tn85844,tn85844_2020_SM,48.4950758,54.1370328,4 or more SV KF,268253,5376082,2020.04.04 16:00:00
tn85844,tn85844_2020_SM,48.4969717,54.1289472,4 or more SV KF,268859,5376268,2020.04.04 22:00:00
tn85844,tn85844_2020_SM,48.4940994,54.1055981,4 or more SV KF,270571,5375878,2020.04.05 02:00:00
tn85844,tn85844_2020_SM,48.4975058,54.1344014,4 or more SV KF,268459,5376344,2020.04.05 12:00:00
